,lon,lat,date,manner_of_death,age,gender,city,state,mental_illness,threat_level,Armed,Race,State
725,NA,NA,9/28/2015,shot,59,M,San Ysidro,california,FALSE,attack,Armed/Undetermined,Hispanic,california
726,-81.1881557,37.7781702,9/30/2015,shot,28,M,Beckley,west virginia,FALSE,attack,Armed/Undetermined,Black,west virginia
727,-110.2772856,31.5455001,10/2/2015,shot,28,M,Sierra Vista,arizona,FALSE,attack,Armed/Undetermined,Hispanic,arizona
728,-117.3703235,34.1064001,10/2/2015,shot and Tasered,26,M,Rialto,california,FALSE,attack,Armed/Undetermined,Hispanic,california
729,-122.8670454,45.4942838,10/2/2015,shot,55,F,Aloha,oregon,TRUE,other,Armed/Undetermined,White,oregon
730,-87.6675292,34.7448112,10/4/2015,shot,27,M,Muscle Shoals,alabama,TRUE,attack,Armed/Undetermined,White,alabama
731,-87.6297982,41.8781136,10/4/2015,shot,31,M,Chicago,illinois,FALSE,attack,Armed/Undetermined,Black,illinois
732,-97.1705678,32.8234621,10/5/2015,shot,51,M,Hurst,texas,FALSE,attack,Armed/Undetermined,White,texas
733,-74.2846022,40.5575986,10/5/2015,shot,50,M,Woodbridge,new jersey,FALSE,attack,Armed/Undetermined,White,new jersey
734,-97.3967019,35.4495065,10/5/2015,shot,18,M,Midwest City,oklahoma,FALSE,attack,Armed/Undetermined,Black,oklahoma
735,-80.0533746,26.7153424,10/7/2015,shot,46,M,West Palm Beach,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
736,-76.8610462,39.2037144,10/9/2015,shot,19,M,Columbia,maryland,FALSE,other,Armed/Undetermined,Black,maryland
737,-70.880049,42.5584283,10/10/2015,shot,49,M,Beverly,massachusetts,TRUE,attack,Armed/Undetermined,White,massachusetts
738,-72.3845301,41.2960159,10/10/2015,shot,31,M,Old Saybrook,connecticut,FALSE,attack,Armed/Undetermined,White,connecticut
739,-117.6467917,34.433237,10/10/2015,shot,38,M,Pinion Hills,california,TRUE,other,Armed/Undetermined,White,california
740,-85.2515482,43.443107,10/10/2015,shot,40,M,Cato Township,michigan,FALSE,attack,Armed/Undetermined,White,michigan
741,-88.0747875,41.801141,10/10/2015,shot and Tasered,35,M,Lisle,illinois,FALSE,undetermined,Armed/Undetermined,Hispanic,illinois
742,-117.2897652,34.1083449,10/11/2015,shot,34,M,San Bernardino,california,FALSE,undetermined,Armed/Undetermined,Hispanic,california
743,-82.2962268,34.9203946,10/11/2015,shot,23,M,Taylors,south carolina,FALSE,attack,Armed/Undetermined,Black,south carolina
744,-102.498757,31.8423472,10/11/2015,shot,43,M,West Odessa,texas,FALSE,other,Armed/Undetermined,Hispanic,texas
745,-98.3959291,34.6035669,10/12/2015,shot,NA,M,Lawton,oklahoma,FALSE,attack,Armed/Undetermined,Black,oklahoma
746,-90.4406506,31.5790588,10/12/2015,shot,31,M,Brookhaven,mississippi,FALSE,attack,Armed/Undetermined,White,mississippi
747,-84.7999382,34.1650972,10/14/2015,shot,27,M,Cartersville,georgia,FALSE,attack,Armed/Undetermined,White,georgia
748,-81.7948103,26.1420358,10/14/2015,shot,46,F,Naples,florida,TRUE,attack,Armed/Undetermined,White,florida
